product_template_id,product_id,template_name,product_name,product_default_code,magento_sku,description,sale_description,instance_id
15,21,Cabinet with Doors,Cabinet with Doors,E-COM11,E-COM11,,,1
28,36,Cable Management Box,Cable Management Box,FURN_5555,FURN_5555,,,1
43,53,Cafe au Lait,Cafe au Lait,60340,60340,,,1
38,48,Caproz Josephine,Caproz Josephine,61230,61230,,,1
70,83,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-L-Black,MH01-L-Black,,,1
70,88,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-L-Gray,MH01-L-Gray,,,1
70,93,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-L-Orange,MH01-L-Orange,,,1
70,82,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-M-Black,MH01-M-Black,,,1
70,87,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-M-Gray,MH01-M-Gray,,,1
70,92,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-M-Orange,MH01-M-Orange,,,1
70,81,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-S-Black,MH01-S-Black,,,1
70,86,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-S-Gray,MH01-S-Gray,,,1
70,91,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-S-Orange,MH01-S-Orange,,,1
70,84,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-XL-Black,MH01-XL-Black,,,1
70,89,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-XL-Gray,MH01-XL-Gray,,,1
70,94,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-XL-Orange,MH01-XL-Orange,,,1
70,80,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-XS-Black,MH01-XS-Black,,,1
70,85,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-XS-Gray,MH01-XS-Gray,,,1
70,90,Chaz Kangeroo  Hoodie ,Chaz Kangeroo  Hoodie ,MH01-XS-Orange,MH01-XS-Orange,,,1
